anime_id,members
32281,200630
5114,793665
28977,114262
9253,673572
9969,151266
32935,93351
11061,425855
820,80679
15335,72534
15417,81109
4181,456749
28851,102733
918,336376
2904,572888
28891,179342
199,466254
23273,416397
24701,75894
12355,226193
1575,715151
263,157670
44,129307
1,486824
30276,552458
164,339556
7311,240297
17074,205959
21939,101351
457,300030
2001,562962
245,268487
32983,38865
5258,88995
28957,32266
11665,98431
431,333186
11741,340973
31757,34347
19,247562
12365,133620
1535,1013917
32366,16947
30654,176475
20583,284498
19647,66756
4282,111074
10379,102322
22135,97187
21329,49036
31043,402381
7785,122531
3297,56162
30709,33422
6114,139474
31240,355839
4565,82253
5300,114173
9989,463835
24415,184525
11577,192424
10408,197439
28171,348951
32995,103178
21899,11104
26055,93657
7472,51185
777,297454
22535,425457
28735,71295
12431,72958
28805,80825
578,174878
16894,243325
5028,28653
21,504862
801,113993
31933,74074
5205,95658
17389,31234
170,82570
10162,194855
18617,25641
32182,193716
877,197256
2251,363215
24687,34011
16498,896229
10030,151561
5941,53108
30346,28864
3784,182224
13125,288376
12029,44223
14397,86074
10087,453630
14719,190197
9756,462974
10165,254436
13601,509109
22789,225927
30230,38531
18115,245026
11981,135735
11917,13405
205,390076
32282,185015
6594,207241
11979,85361
7655,24788
2246,88850
25835,146895
2921,6259
136,166255
30503,299434
12531,146592
523,271484
467,194491
572,143273
19815,602291
2559,15074
392,195017
486,102822
11771,338315
1698,157025
5341,210491
25781,92543
10863,159548
28701,205987
5420,36751
9260,99579
32,215630
4224,633817
2236,289206
2685,57963
31181,107855
45,218928
2418,125503
1365,28462
22297,267484
627,41061
10937,15420
23755,331627
4081,210736
4155,85020
1889,218101
137,53168
139,55787
23317,67261
558,30689
5040,83056
57,148328
33,226430
5,137636
1842,29528
6336,42076
20651,28302
1210,291228
338,32188
13759,380375
6547,717796
5081,482268
32867,83641
264,47840
12859,76051
853,422271
5460,21798
6746,556431
5690,67697
329,105044
34240,71136
513,151061
6945,27213
1142,61493
6811,99128
16664,45547
1604,258103
22145,122895
2966,334932
31964,282002
19363,67032
18195,71820
9890,12282
9130,27532
9863,101027
7674,246899
11843,258914
16782,189741
28675,59815
3226,28002
21557,53590
31715,31856
43,223036
9617,115252
31051,22900
10153,13315
1033,58492
32188,38147
3091,74941
12115,65594
28223,383914
121,600384
3002,98996
138,57029
6675,109392
10800,158561
32005,6229
813,375662
27821,106382
28725,59652
585,94435
16067,224947
30,461946
31490,18642
759,89424
6,283069
6864,36353
9735,14002
11977,88164
11123,69253
23847,222994
33161,35120
962,39596
1519,203233
2167,566690
16706,142612
5681,223359
3901,100412
6467,20602
10271,55566
22507,19702
3701,56927
19123,17247
33255,47092
372,60637
265,40623
25681,91796
4722,134818
24277,50778
239,103828
512,152331
4477,70822
15323,24707
31174,60988
23327,60918
5365,45189
3702,104893
3167,99074
7465,66376
7054,391628
1257,23701
23283,342893
2025,440334
235,114702
1364,25432
18689,81384
22043,255076
31988,47716
20899,120089
1453,22079
23623,64230
1559,129112
1382,5001
23289,292622
18,41584
4814,87617
16662,75359
12031,54211
8129,108053
14513,317513
2581,120351
30015,202249
6171,40355
1827,106888
25013,216674
1367,23130
27833,115295
26213,36091
1974,17038
8425,232113
12069,20157
185,68128
18679,508118
2034,235003
437,117565
721,73218
12477,89749
4938,40420
2402,15442
6702,584590
1566,55247
31741,73480
440,77464
4107,72933
1506,21789
2759,194561
72,171086
3016,11808
3783,108720
3927,86972
11597,260062
28025,111009
24833,312654
29893,9500
27663,36251
1482,334399
3371,8621
25313,13764
1430,32732
33051,21210
7720,22190
1914,23160
20371,23045
15039,95241
2164,76860
237,239570
2449,21435
10643,14728
17739,5959
135,69000
6045,309339
16001,106989
6211,121349
232,181249
4789,103657
16918,116261
16,130646
1486,27893
24997,38118
32902,43372
8063,35225
25879,80763
889,332562
21419,12151
2952,77111
934,359494
12189,372246
731,31464
1530,163171
9656,171866
20507,515378
31149,13359
4918,40401
14075,259900
4772,11961
781,26799
1363,25461
223,316102
2004,6321
25649,39866
153,66646
5029,9943
302,15557
8740,33862
5682,159105
21647,72708
16049,137105
1065,12833
18179,91138
47,215897
4901,108099
23199,189407
32122,7923
30415,24310
851,7954
10049,75612
1943,163308
4053,21020
846,93095
9926,94820
31173,80862
4059,160423
589,10575
15059,26711
7791,246276
17265,387100
20815,13454
535,39832
2563,20629
9963,17165
32551,20989
2951,29331
2762,5063
14713,189641
14807,41168
81,34177
9204,6645
31098,43916
1023,37679
33253,51382
24921,12353
1471,8199
27831,132506
2924,151106
4672,51789
2448,16614
3907,5308
186,45825
10080,194300
30885,58075
21469,5712
9941,104075
14813,353876
6421,67962
21855,124886
11739,44564
2159,49599
28297,200833
29831,3187
2154,46018
6505,13935
861,150872
1689,324035
34103,29969
3665,7712
9996,10649
7711,97910
77,41685
401,49454
32093,101335
12113,66721
7338,136135
32613,3846
3014,15069
645,13901
11135,26036
5781,72021
13767,23192
5678,88986
6774,41521
1089,19240
25161,30516
995,25170
2752,21186
15,83648
122,59374
29095,111962
1594,79816
3092,117910
10721,156689
16395,11342
3588,580184
4106,68181
387,120731
16916,41760
1088,44157
10620,657190
2143,6554
6582,4584
2158,36941
22319,618056
11113,36351
6586,36921
66,170901
8142,63263
6438,9649
33032,9807
227,305165
73,155340
4898,424919
19111,91864
7222,17826
22097,52351
15689,173264
957,50951
24,178553
33286,28220
849,428569
2623,8505
268,113040
29093,70039
427,42253
4280,103600
18429,10021
17549,133475
26123,26361
28,50876
9513,217752
14353,95690
8408,103105
13331,81951
4985,20433
29803,244268
22,87643
2618,5306
793,41547
30279,44335
28755,74690
10029,50689
2035,11903
790,265005
9289,150393
15809,409037
27989,134694
5630,276593
2829,6528
30831,244877
416,74028
85,28959
30240,227734
1254,70559
2605,174531
4163,31973
3228,74040
1485,8353
6351,138364
13119,9492
3782,114415
3572,95551
8310,27274
114,67254
11813,24167
658,48127
10012,71976
32370,72499
22961,48432
22777,42666
29787,38102
7062,15748
11887,283847
9088,5843
12815,44668
12017,13567
6377,55402
1470,19963
780,26284
27633,52672
2321,12283
17273,8644
429,9268
18661,38678
14349,111703
1729,12394
31973,14419
17949,11663
996,52586
9465,41598
14175,34630
11239,12590
967,40271
1695,9605
339,215829
7724,251093
2753,3811
8516,183722
779,28947
1366,21729
19319,31606
15195,34960
187,39374
30311,10778
597,92499
400,78600
18245,91075
10521,117328
28907,244314
31637,153501
1571,126426
267,95825
253,22214
22673,20477
4080,19510
27947,16938
12917,1528
3750,11779
569,19841
6007,81137
1253,21240
15771,30814
397,13888
949,51724
11001,10244
17909,64897
21185,59818
9724,40053
6768,23204
4872,40358
12413,137610
2076,8655
31251,60525
5485,7872
5005,12236
890,10031
269,624055
14741,394399
1472,6723
33028,65503
7304,6515
8609,7757
6033,116832
8479,64416
254,8847
8525,284846
19703,67732
25517,43545
31764,86475
27775,213493
21339,94677
2104,165008
24893,57665
2150,7761
12445,172367
543,68229
23225,28339
9252,42653
12893,49891
1505,20347
4447,19290
317,138659
22265,150596
13117,12076
9563,8734
16904,98549
97,104193
20517,26709
2273,35711
1735,533578
20159,85947
12403,83097
7044,22704
31646,59492
32998,140604
30123,157551
31339,102857
2890,140277
468,85714
29755,13094
25303,30063
24471,6073
516,31632
1425,10873
5310,20637
93,96973
8038,23388
322,86380
6154,4975
7588,40819
10083,37657
1172,32742
31711,22487
2265,6540
23249,5431
202,171863
30370,29398
9919,583823
1818,316853
34036,2493
10090,7515
17895,273191
1824,16474
4192,67323
10357,89373
30745,10306
19489,53024
4472,84833
19613,7695
5530,229567
6591,9695
10218,77103
388,9711
28999,310137
1473,6337
1379,26746
23293,5939
1910,3205
33221,2833
18897,347599
31592,15627
31380,18575
28677,193566
7193,93074
1961,11458
21405,159793
6024,16670
2761,2963
1491,12672
106,28341
5835,37051
3604,19180
11237,7999
2828,4479
4087,82625
28881,4641
21473,27462
582,6473
8311,36228
21995,227417
532,66911
552,182208
13629,8809
7645,12825
249,281632
4886,16373
451,51079
9734,50496
433,103975
6115,15220
80,51566
1092,11343
20767,104775
10119,63265
1921,5663
1562,92088
11111,534657
32863,7999
11737,105183
28249,152811
13535,117091
1520,14414
28121,336349
30191,22774
10497,14348
6862,70787
251,58150
18153,359011
875,32756
795,11424
33994,5973
18397,121063
29830,3089
16870,85013
479,60027
15197,61020
32189,83343
31859,213342
15451,266657
33446,1043
570,62464
5680,386048
2175,23453
1887,305837
90,86001
91,28485
2594,24278
210,105212
1007,16804
19775,118341
534,73476
9790,70391
2582,9008
407,16591
6213,231079
1000,14869
1375,5600
8514,44900
951,4739
12117,14938
2508,55825
19115,10115
6904,20263
22125,20397
4454,8911
32547,9729
15959,11401
16239,21489
31772,75502
396,18580
8407,146697
20057,123529
9074,80394
7305,4069
226,623511
644,21164
2405,1757
15117,68623
10460,86196
6050,12413
444,14983
82,22609
15315,218231
30347,37540
31704,94839
1699,91530
517,40868
29829,3304
30868,22279
22199,492133
14941,22302
978,5606
2994,88699
14735,12963
10350,14725
20431,47619
15487,32215
1462,38643
13667,87369
28927,190058
398,11044
20847,98544
2451,6919
8937,184520
12883,90625
30413,8838
30902,19586
6347,301282
3841,36307
8086,130689
9982,83421
1888,15085
